Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork
no,travel_rarely,249.0,,2,2,marketing,9030.0,3,male,35.0,3,2,sales_executive,4,,4537.0,17783,0,,22,4.0,1,1,8.0,2,3.0,7,7,7,1976,yes
no,non_travel,881.0,research_and_development,2,4,,9050.0,1,female,98.0,3,4,manager,1,divorced,17924.0,4544,1,,11,3.0,4,1,31.0,3,3.0,31,14,7,1973,no
no,travel_rarely,1137.0,research_and_development,21,1,life_sciences,9420.0,4,male,51.0,3,2,healthcare_representative,4,married,4014.0,19170,1,,25,4.0,4,1,10.0,2,1.0,10,0,7,1988,yes
no,travel_rarely,466.0,,1,1,,10260.0,4,male,65.0,2,4,manufacturing_director,4,married,12742.0,7060,1,no,16,3.0,3,1,,3,3.0,21,11,8,1984,yes
no,,509.0,,7,2,,10850.0,2,male,43.0,4,1,research_scientist,3,,3376.0,18863,1,no,13,3.0,3,0,,3,3.0,10,0,8,1982,no
no,,469.0,,2,2,medical,11090.0,4,female,35.0,3,4,manager,1,,,14399,0,no,17,3.0,4,1,23.0,3,3.0,22,13,7,1981,no
no,travel_rarely,994.0,,7,4,life_sciences,11180.0,2,female,87.0,3,3,healthcare_representative,2,single,,15322,7,,19,3.0,4,0,18.0,4,,8,4,0,1971,yes
no,,433.0,,1,3,,11520.0,3,female,37.0,4,1,human_resources,3,,,6004,1,no,13,3.0,4,1,7.0,2,4.0,7,5,0,1985,yes
no,,482.0,,4,4,life_sciences,13500.0,3,female,87.0,3,2,research_scientist,3,single,4249.0,2690,1,,11,3.0,2,0,,3,3.0,9,1,1,1988,no
no,travel_rarely,1083.0,research_and_development,29,1,life_sciences,15140.0,3,female,96.0,1,2,manufacturing_director,2,married,6549.0,3173,1,,14,,2,2,8.0,2,2.0,8,1,7,1995,yes
no,,136.0,,28,3,life_sciences,15230.0,4,female,32.0,3,4,research_director,1,married,,22074,3,no,13,3.0,3,1,,1,4.0,20,14,17,1979,yes
no,,333.0,,22,5,,15390.0,3,female,88.0,1,4,research_director,4,,14411.0,24450,1,,13,3.0,4,0,,2,3.0,32,13,9,1973,no
no,,1462.0,sales,6,3,,15880.0,4,female,38.0,4,3,sales_executive,3,married,8237.0,4658,2,no,11,3.0,1,1,11.0,3,3.0,7,7,6,1984,yes
no,,722.0,research_and_development,13,4,,16170.0,13,male,84.0,3,1,laboratory_technician,1,,3211.0,22102,1,,14,3.0,4,1,10.0,3,2.0,9,1,4,1974,yes
no,,,,28,2,technical_degree,17190.0,4,male,48.0,2,4,research_director,2,single,16704.0,17119,1,,11,,3,0,21.0,2,3.0,21,8,6,1978,no
no,,1131.0,,15,3,,18700.0,4,male,77.0,2,1,research_scientist,1,married,4774.0,23844,0,no,19,3.0,4,1,,2,,7,7,3,1996,no
no,travel_rarely,300.0,,2,3,,20310.0,1,female,56.0,3,5,manager,3,married,,17312,5,,11,3.0,1,0,24.0,2,2.0,22,4,14,1981,yes
no,,1023.0,sales,2,3,,20650.0,4,female,63.0,2,2,sales_executive,2,married,,13243,2,,14,3.0,4,0,17.0,3,2.0,9,0,8,1974,yes
no,travel_rarely,153.0,,15,2,life_sciences,150.0,4,male,49.0,2,2,laboratory_technician,3,single,,12682,0,yes,12,3.0,4,0,10.0,3,3.0,9,0,8,1994,yes
no,non_travel,1065.0,,12,4,marketing,600.0,12,female,72.0,3,2,sales_executive,3,,4568.0,10034,0,no,20,4.0,3,0,,2,3.0,9,8,7,1989,no
no,,1195.0,,11,3,,850.0,2,female,95.0,2,2,manufacturing_director,2,single,6499.0,22656,1,no,13,3.0,3,0,6.0,3,3.0,6,0,3,1987,yes
no,travel_rarely,665.0,,15,3,,3460.0,3,female,60.0,3,1,research_scientist,4,,,22673,1,no,19,3.0,1,0,6.0,1,3.0,6,1,5,1994,no
no,,1479.0,,1,3,,3840.0,3,male,84.0,3,2,manufacturing_director,2,,6397.0,26767,1,no,20,4.0,1,1,6.0,6,1.0,6,1,4,1997,no
no,,304.0,,9,4,life_sciences,4980.0,2,female,92.0,3,2,sales_executive,4,single,,20750,1,no,16,3.0,4,0,,1,3.0,7,0,7,1995,yes
no,travel_frequently,1368.0,,30,4,technical_degree,5510.0,4,male,,2,2,healthcare_representative,4,married,,4386,0,no,11,3.0,4,3,7.0,4,4.0,6,0,4,1981,yes
no,travel_rarely,828.0,sales,2,1,life_sciences,6040.0,2,female,77.0,3,2,sales_executive,4,,,8346,4,yes,13,3.0,3,0,10.0,2,4.0,6,0,5,1992,yes
no,non_travel,142.0,,9,4,,6260.0,1,female,69.0,3,3,sales_executive,2,divorced,,24666,1,no,13,3.0,4,1,9.0,6,3.0,9,7,7,1986,no
no,,1246.0,,3,3,,6440.0,1,female,99.0,3,5,manager,2,married,,7999,1,no,11,3.0,3,1,,2,3.0,32,10,7,1973,no
no,,254.0,,1,2,life_sciences,6490.0,2,female,83.0,2,1,research_scientist,4,,3622.0,22794,1,yes,13,3.0,4,1,6.0,3,3.0,6,1,3,1989,yes
no,travel_frequently,1410.0,,3,1,medical,7140.0,4,male,71.0,4,2,sales_executive,4,,,16673,1,,20,,2,2,,3,3.0,6,0,4,1996,no
no,,883.0,sales,42,1,,7810.0,42,male,32.0,3,2,sales_executive,4,single,6180.0,22807,1,no,23,4.0,2,0,6.0,5,2.0,6,1,4,1998,no
no,,121.0,research_and_development,2,4,,8040.0,3,male,86.0,2,1,research_scientist,1,,4381.0,7530,1,,11,,3,0,6.0,3,3.0,6,1,3,1989,yes
no,,1343.0,,16,1,medical,8560.0,16,male,53.0,2,1,research_scientist,1,,2559.0,17852,1,,11,3.0,4,0,6.0,3,2.0,6,1,1,1988,no
no,,827.0,research_and_development,1,4,,9980.0,3,male,84.0,4,2,healthcare_representative,2,married,5488.0,20161,1,yes,13,3.0,1,1,,2,3.0,6,1,2,1990,yes
no,,1107.0,,28,4,life_sciences,11200.0,3,male,93.0,3,1,research_scientist,4,divorced,2514.0,26968,4,no,22,4.0,1,1,11.0,1,3.0,7,1,7,1994,no
no,travel_frequently,490.0,research_and_development,10,3,,11430.0,4,male,61.0,3,1,research_scientist,2,divorced,,17940,0,no,14,3.0,4,2,8.0,2,2.0,7,1,1,1994,yes
no,travel_rarely,1332.0,research_and_development,11,2,,12510.0,3,female,80.0,3,2,healthcare_representative,1,married,,17089,1,yes,12,,4,0,6.0,2,2.0,6,0,1,1992,no
no,travel_rarely,465.0,,1,3,,14380.0,1,female,74.0,3,1,research_scientist,4,,3420.0,10205,7,no,12,3.0,3,1,17.0,2,2.0,6,1,2,1976,yes
no,,1200.0,,1,4,,15740.0,4,female,,3,2,research_scientist,1,married,4087.0,25174,4,,14,3.0,2,1,9.0,3,2.0,6,1,2,1991,yes
no,,977.0,,2,3,medical,16710.0,4,female,45.0,3,2,research_scientist,2,divorced,,25518,0,no,13,3.0,3,2,10.0,4,2.0,9,1,6,1991,yes
no,travel_rarely,1328.0,,2,3,life_sciences,940.0,3,female,76.0,3,1,research_scientist,2,married,,4956,0,no,23,4.0,4,1,,3,3.0,5,0,4,1994,no
no,,,,13,3,,1120.0,4,female,,1,3,manufacturing_director,4,,,21698,4,no,11,3.0,1,0,37.0,3,2.0,6,0,2,1967,yes
no,,120.0,,4,3,medical,1290.0,2,female,43.0,3,2,sales_executive,3,,4221.0,8863,1,,15,3.0,2,0,5.0,3,4.0,5,0,4,1995,yes
yes,travel_rarely,240.0,,5,3,,1420.0,3,female,46.0,2,2,sales_executive,3,single,,26959,1,yes,11,3.0,4,0,,1,3.0,6,0,3,1998,yes
yes,,441.0,,14,4,life_sciences,1610.0,2,male,72.0,3,1,research_scientist,2,,4963.0,4510,9,,18,3.0,1,3,7.0,2,3.0,5,4,3,1967,yes
no,,841.0,research_and_development,6,3,,1640.0,3,male,46.0,2,1,research_scientist,2,married,,23300,1,,19,3.0,3,0,5.0,3,2.0,5,4,3,1997,no
yes,,1033.0,,9,3,medical,1900.0,1,male,41.0,3,1,laboratory_technician,1,,4200.0,10224,7,no,22,4.0,1,0,,2,4.0,5,0,4,1991,no
no,travel_rarely,,,18,3,life_sciences,1940.0,1,male,75.0,3,1,research_scientist,3,single,,23910,1,no,14,3.0,3,0,,4,2.0,5,0,4,1993,yes
no,travel_rarely,1452.0,,11,3,,2260.0,3,male,53.0,3,5,manager,2,,,17053,3,,15,3.0,2,0,,5,3.0,5,4,4,1973,no
no,,120.0,,6,5,life_sciences,2310.0,3,female,43.0,3,1,research_scientist,3,,,12430,3,no,20,4.0,1,0,8.0,2,,5,1,4,1991,no
no,travel_rarely,1268.0,,4,2,,2400.0,3,male,30.0,3,2,sales_executive,1,,5006.0,6319,4,,11,3.0,1,1,9.0,3,4.0,5,0,3,1978,no
no,,,,7,3,,2620.0,4,female,37.0,4,1,research_scientist,4,divorced,,5228,4,no,14,3.0,4,3,7.0,3,4.0,5,2,2,1980,yes
yes,,121.0,,27,3,marketing,2830.0,2,male,35.0,3,3,sales_executive,4,married,7639.0,24525,1,,22,4.0,4,3,10.0,3,2.0,10,1,9,1994,yes
no,non_travel,,research_and_development,1,4,medical,3080.0,3,female,90.0,1,2,manufacturing_director,3,,,4381,0,,12,3.0,4,1,6.0,2,3.0,5,1,4,1992,yes
yes,,813.0,,14,3,,3250.0,3,female,58.0,3,1,laboratory_technician,4,married,,22149,5,yes,13,3.0,3,1,8.0,2,1.0,5,0,4,1990,no
yes,,307.0,,29,2,,3550.0,3,female,71.0,2,1,laboratory_technician,2,,,11652,0,no,11,3.0,2,0,,2,4.0,5,1,4,1992,yes
no,,228.0,,6,4,,3780.0,3,female,,3,2,sales_executive,4,,6502.0,22825,4,no,14,3.0,2,1,,5,4.0,5,0,1,1986,yes
no,non_travel,210.0,,1,1,marketing,4490.0,3,female,73.0,3,2,sales_executive,2,,6349.0,22107,0,yes,13,3.0,4,1,,0,,5,1,4,1996,yes
no,travel_rarely,483.0,,6,3,,4660.0,4,female,,2,2,manufacturing_director,2,single,,10110,6,yes,15,3.0,4,0,,3,3.0,5,1,2,1982,yes
no,travel_rarely,921.0,,10,3,medical,4860.0,3,male,98.0,3,1,laboratory_technician,1,,,17663,6,no,20,4.0,2,1,,3,3.0,5,0,3,1986,yes
yes,,575.0,,22,2,,4920.0,22,female,68.0,2,2,sales_executive,3,,6380.0,6110,2,yes,12,3.0,1,2,8.0,6,3.0,6,1,0,1983,yes
no,,1311.0,,2,3,,5050.0,3,male,97.0,3,4,manager,4,single,,23258,2,yes,13,3.0,3,0,,2,3.0,5,1,2,1968,no
yes,travel_frequently,575.0,,3,1,,5100.0,3,female,73.0,3,1,research_scientist,1,,3102.0,6582,0,,22,4.0,3,0,,2,3.0,6,0,4,1997,yes
no,,891.0,sales,4,2,,5270.0,2,male,99.0,2,2,sales_executive,4,single,,12090,1,yes,11,3.0,2,0,5.0,3,3.0,5,1,3,1998,no
no,travel_frequently,532.0,,12,2,,5470.0,1,male,92.0,3,2,research_scientist,3,,4556.0,12932,2,no,11,3.0,2,1,19.0,3,3.0,5,0,2,1981,no
no,travel_rarely,317.0,,2,3,life_sciences,5480.0,3,male,43.0,1,2,manufacturing_director,4,,,24793,2,no,20,4.0,3,0,11.0,2,3.0,5,0,2,1993,yes
no,travel_rarely,144.0,,22,3,life_sciences,5770.0,4,female,46.0,1,1,laboratory_technician,3,single,4230.0,19225,0,no,15,3.0,3,0,,2,3.0,5,4,3,1988,no
no,travel_rarely,646.0,,9,4,,6790.0,1,male,92.0,3,2,research_scientist,4,married,6322.0,18089,1,,12,3.0,4,1,6.0,2,,6,0,5,1991,no
yes,,719.0,,27,2,life_sciences,7850.0,2,male,77.0,4,2,sales_executive,3,,,10339,4,yes,12,3.0,4,0,8.0,2,3.0,5,1,3,1976,no
no,travel_frequently,1012.0,,5,4,life_sciences,8610.0,2,female,,2,1,research_scientist,4,divorced,,2373,9,no,12,3.0,2,1,10.0,3,2.0,5,0,3,1993,yes
no,,930.0,,9,3,marketing,8640.0,4,female,74.0,3,3,sales_executive,1,divorced,10761.0,19239,4,yes,12,3.0,3,1,18.0,2,3.0,5,0,2,1978,no
no,travel_rarely,1278.0,,8,3,life_sciences,8780.0,1,female,77.0,2,1,human_resources,1,,,8635,0,,21,4.0,3,0,,3,3.0,5,0,3,1987,yes
no,,1222.0,,11,4,,8950.0,4,female,48.0,3,1,research_scientist,4,,,14871,3,,19,3.0,2,1,,2,3.0,6,0,2,1992,yes
no,travel_frequently,1231.0,,21,2,medical,9000.0,3,male,54.0,3,1,sales_representative,4,married,2973.0,21222,5,,15,3.0,2,1,,3,3.0,5,0,0,1986,no
no,,462.0,,14,2,,9360.0,3,male,68.0,2,2,sales_executive,3,,,7824,7,,17,3.0,1,0,,6,3.0,5,0,3,1981,yes
no,,,,1,2,medical,9970.0,4,female,66.0,3,4,research_director,4,divorced,17399.0,6615,9,no,22,,3,1,32.0,1,2.0,5,1,3,1973,yes
no,travel_rarely,1089.0,sales,1,2,,10480.0,2,female,66.0,3,3,manager,4,,,11038,3,yes,14,3.0,3,1,14.0,1,1.0,6,0,4,1964,yes
no,,1240.0,,9,3,medical,10710.0,1,male,63.0,3,1,research_scientist,3,married,,12154,2,no,19,3.0,2,1,18.0,4,3.0,5,0,3,1967,no
no,,1262.0,,1,4,,11160.0,1,female,35.0,4,4,manager,4,single,16885.0,16154,2,no,22,,3,0,,3,2.0,5,2,1,1975,yes
no,,439.0,research_and_development,9,3,life_sciences,11320.0,3,female,70.0,3,2,laboratory_technician,2,single,,8770,9,no,15,3.0,3,0,9.0,2,2.0,5,0,3,1984,no
no,travel_rarely,647.0,sales,4,4,marketing,11710.0,2,female,45.0,3,2,sales_executive,1,single,5155.0,2253,7,no,13,3.0,4,0,,3,,6,1,5,1981,no
yes,,1097.0,,10,4,,12000.0,3,female,96.0,3,1,research_scientist,3,single,2936.0,10826,1,yes,11,3.0,3,0,6.0,4,3.0,6,0,2,1979,no
no,travel_rarely,942.0,,15,1,,12020.0,2,male,69.0,1,1,research_scientist,4,married,,26933,0,yes,18,,1,1,6.0,2,2.0,5,1,3,1994,no
no,travel_frequently,966.0,,1,4,,12450.0,4,male,53.0,3,3,manufacturing_director,3,,,9659,7,no,17,3.0,1,1,33.0,2,1.0,5,1,4,1969,no
no,,168.0,sales,4,2,,12800.0,4,male,33.0,2,5,manager,2,married,18789.0,9946,2,,14,3.0,3,1,,2,3.0,11,0,8,1977,yes
yes,travel_rarely,1089.0,,7,2,life_sciences,13090.0,4,female,79.0,3,2,laboratory_technician,3,,4883.0,22845,1,,18,3.0,1,1,,3,3.0,10,1,1,1991,yes
no,non_travel,999.0,,26,1,,13740.0,1,male,92.0,2,1,research_scientist,3,divorced,2029.0,15891,1,no,20,4.0,3,3,5.0,2,3.0,5,0,0,1989,yes
no,travel_rarely,1498.0,sales,21,4,,13900.0,1,female,44.0,2,2,sales_executive,4,married,,3567,3,,12,3.0,4,2,8.0,2,4.0,5,1,4,1984,no
no,,1111.0,sales,41,1,life_sciences,13950.0,41,female,61.0,3,2,sales_executive,4,married,,19293,6,,13,3.0,1,0,8.0,2,4.0,5,1,2,1990,yes
no,non_travel,1485.0,research_and_development,25,2,,13970.0,3,female,71.0,3,3,healthcare_representative,3,,,3449,3,no,21,4.0,2,1,13.0,2,3.0,6,0,5,1984,no
no,travel_rarely,258.0,,8,4,other,14090.0,3,male,54.0,3,1,laboratory_technician,1,married,,17363,9,no,13,,3,0,12.0,2,1.0,5,0,4,1971,yes
no,,1174.0,,3,4,,14250.0,1,male,99.0,3,2,sales_executive,2,single,9278.0,20763,3,yes,16,3.0,4,0,15.0,3,3.0,5,0,1,1987,yes
no,,172.0,,47,4,life_sciences,14350.0,47,female,,2,2,laboratory_technician,4,single,,22604,1,,16,3.0,3,0,10.0,2,2.0,10,1,8,1987,yes
no,travel_rarely,,,4,1,,14450.0,4,male,42.0,3,2,sales_executive,3,married,4162.0,15211,1,yes,12,3.0,3,2,,3,3.0,5,0,3,1999,yes
no,,866.0,sales,5,3,,14690.0,4,female,,3,2,sales_executive,1,single,,23490,0,,18,3.0,4,0,,4,3.0,5,1,3,1995,yes
no,travel_rarely,571.0,,14,3,medical,15030.0,3,male,,3,2,sales_executive,3,married,,24200,3,,17,3.0,3,1,,4,2.0,5,1,2,1976,yes
yes,,676.0,,9,4,life_sciences,15340.0,4,female,86.0,3,1,laboratory_technician,1,single,,21831,3,,14,3.0,2,0,15.0,3,1.0,5,1,0,1983,no
no,travel_rarely,950.0,,49,3,technical_degree,15460.0,49,female,97.0,3,1,research_scientist,4,married,,4585,4,no,20,4.0,4,1,,3,3.0,5,0,3,1978,yes
no,travel_rarely,1342.0,,9,2,,15480.0,1,female,47.0,3,2,sales_executive,1,,,19345,0,,12,3.0,4,0,,5,4.0,8,7,1,1983,yes
no,,118.0,,14,2,life_sciences,15980.0,4,male,84.0,3,2,sales_executive,1,married,,11262,1,no,15,3.0,3,1,5.0,2,3.0,5,1,2,1983,yes
no,,990.0,,27,3,,15990.0,4,female,87.0,4,1,laboratory_technician,2,divorced,4876.0,5855,5,,12,3.0,3,1,,0,,6,0,2,1980,no
no,,241.0,,7,3,,16090.0,2,female,48.0,2,1,research_scientist,2,,2141.0,5348,1,no,12,3.0,2,1,6.0,3,2.0,6,1,1,1993,yes
no,,,research_and_development,2,2,,16380.0,4,male,54.0,2,3,manufacturing_director,3,,7756.0,14199,3,,19,3.0,4,1,10.0,6,4.0,5,0,2,1985,yes
no,travel_rarely,1470.0,research_and_development,10,3,,16400.0,2,male,71.0,3,1,research_scientist,2,married,3936.0,9953,1,,11,3.0,1,1,8.0,2,1.0,8,7,7,1986,no
no,travel_rarely,1040.0,research_and_development,11,2,life_sciences,16640.0,11,female,79.0,4,2,healthcare_representative,1,divorced,6842.0,26308,6,no,20,4.0,1,1,13.0,3,3.0,5,0,4,1987,yes
yes,travel_rarely,1320.0,,8,1,medical,16840.0,4,female,93.0,2,1,laboratory_technician,3,single,3989.0,20586,1,,11,,1,0,5.0,2,3.0,5,1,2,2000,yes
no,,146.0,,2,4,,17040.0,1,female,79.0,2,1,research_scientist,4,,4930.0,13970,0,yes,14,3.0,3,0,6.0,2,4.0,5,1,4,1988,yes
no,travel_frequently,163.0,,24,1,technical_degree,17360.0,4,male,30.0,3,2,manufacturing_director,4,single,,6670,2,,20,4.0,4,0,9.0,3,2.0,5,1,4,1992,yes
no,travel_rarely,1153.0,research_and_development,6,2,other,17820.0,4,male,40.0,2,1,laboratory_technician,3,married,3702.0,16376,1,no,11,3.0,2,1,5.0,3,3.0,5,0,4,1985,yes
no,,185.0,,23,4,medical,18260.0,2,female,91.0,1,1,laboratory_technician,3,married,2705.0,9696,0,,16,,2,1,6.0,2,4.0,5,0,3,1988,yes
no,travel_frequently,1297.0,research_and_development,48,2,,18500.0,48,male,,3,1,laboratory_technician,4,single,2379.0,19826,0,yes,14,3.0,3,0,6.0,3,2.0,5,0,2,1996,yes
no,,337.0,,8,3,,19090.0,3,male,54.0,3,2,sales_executive,2,,,26841,5,no,21,4.0,3,1,14.0,3,3.0,5,1,4,1982,yes
no,travel_rarely,217.0,,15,4,marketing,19240.0,2,female,43.0,3,2,sales_executive,3,single,5487.0,10410,1,no,14,3.0,2,0,,2,2.0,10,0,9,1990,no
no,,1064.0,,2,1,life_sciences,19410.0,2,female,42.0,3,5,research_director,4,married,,13738,3,no,15,3.0,4,0,28.0,3,3.0,5,4,3,1974,no
no,non_travel,1351.0,,9,4,,19490.0,1,female,66.0,4,1,laboratory_technician,2,,2810.0,9238,1,no,22,4.0,2,0,5.0,3,3.0,5,0,2,1987,yes
yes,travel_rarely,1218.0,,9,4,life_sciences,270.0,3,female,82.0,2,1,sales_representative,1,single,,6986,7,no,23,4.0,2,0,,4,,5,0,3,1987,no
no,travel_rarely,1273.0,,2,2,medical,460.0,4,male,72.0,4,1,research_scientist,3,,,21923,1,no,12,3.0,4,2,6.0,3,2.0,5,1,4,1980,no
no,travel_frequently,1141.0,,18,3,life_sciences,520.0,18,male,42.0,4,2,sales_executive,1,married,,3193,2,no,19,,1,2,,3,3.0,5,1,3,1990,no
no,,1488.0,sales,1,5,marketing,680.0,2,male,75.0,3,2,sales_executive,1,,5454.0,4009,5,,21,4.0,3,1,9.0,2,2.0,4,1,3,1979,no
no,,653.0,,29,5,life_sciences,790.0,4,male,50.0,3,2,laboratory_technician,4,single,,5456,1,no,11,3.0,4,0,10.0,2,3.0,10,9,9,1985,yes
no,,989.0,,7,2,medical,800.0,2,male,43.0,2,5,research_director,3,divorced,18740.0,16701,5,,12,,4,1,,2,2.0,27,13,8,1973,no
no,travel_frequently,1225.0,,1,1,,910.0,1,male,57.0,2,2,sales_executive,3,single,5473.0,24668,7,no,11,,4,0,20.0,2,2.0,4,1,3,1964,no
no,travel_frequently,530.0,,1,4,life_sciences,1190.0,3,female,78.0,2,4,healthcare_representative,2,married,13503.0,14115,1,no,22,4.0,4,1,22.0,3,2.0,22,11,11,1983,no
no,travel_rarely,1217.0,,2,4,technical_degree,1260.0,1,male,60.0,3,3,research_director,3,,13549.0,24001,9,no,12,3.0,1,1,16.0,5,1.0,4,0,3,1969,no
no,non_travel,142.0,,26,3,,1480.0,4,male,,4,4,manager,4,single,,13871,2,,12,,3,0,,3,3.0,5,4,4,1969,yes
no,,1127.0,,18,1,life_sciences,1500.0,2,female,52.0,3,1,laboratory_technician,3,married,2774.0,13257,0,no,12,3.0,3,1,,2,3.0,5,1,2,1999,yes
no,travel_rarely,1427.0,,2,1,,1980.0,2,female,35.0,2,1,laboratory_technician,4,single,,11162,0,no,13,3.0,4,0,6.0,3,3.0,5,1,2,1993,yes
no,travel_frequently,303.0,,10,4,,2160.0,10,male,75.0,3,1,sales_representative,3,,,11314,6,no,18,3.0,4,1,,3,3.0,4,1,2,1989,no
no,travel_rarely,702.0,,1,4,life_sciences,2300.0,1,male,,2,2,sales_executive,4,single,,12930,4,,22,,3,0,12.0,2,4.0,8,0,7,1985,no
no,,926.0,,21,2,,2700.0,3,male,36.0,3,2,manufacturing_director,3,divorced,5265.0,16439,2,,16,3.0,2,1,11.0,5,3.0,5,0,2,1981,no
no,,878.0,,10,4,,2770.0,4,female,43.0,3,1,research_scientist,3,divorced,3815.0,5972,1,yes,17,3.0,4,1,,4,4.0,5,2,0,1989,yes
yes,,334.0,,26,4,,2990.0,3,male,52.0,2,2,sales_executive,1,,,22967,5,,15,3.0,3,0,9.0,5,2.0,6,0,1,1993,yes
yes,travel_rarely,896.0,,13,1,medical,3150.0,13,female,86.0,2,1,research_scientist,4,single,2389.0,14961,1,,13,3.0,3,0,4.0,3,,4,0,1,1994,yes
no,,1401.0,,4,2,,3300.0,3,male,56.0,3,1,sales_representative,2,married,,20990,2,no,11,,1,1,,5,3.0,4,1,2,1991,no
no,,675.0,,5,2,life_sciences,3690.0,2,female,85.0,4,2,healthcare_representative,1,,4000.0,18384,1,no,12,3.0,4,2,6.0,2,3.0,6,1,5,1998,yes
no,,1070.0,,3,4,,3860.0,3,female,45.0,3,4,research_director,3,married,17584.0,21016,3,yes,16,3.0,4,3,21.0,5,2.0,5,1,3,1970,yes
no,,496.0,research_and_development,11,2,medical,3900.0,1,female,60.0,3,2,healthcare_representative,1,married,,22722,1,,13,3.0,3,1,5.0,3,3.0,5,3,3,1997,yes
no,travel_rarely,1476.0,,16,2,medical,4120.0,2,female,68.0,4,2,healthcare_representative,1,single,5661.0,4824,0,,19,3.0,3,0,9.0,2,3.0,8,0,7,1995,yes
no,,390.0,research_and_development,1,4,life_sciences,4220.0,4,female,32.0,1,2,healthcare_representative,3,divorced,,17056,2,yes,13,3.0,4,1,,2,3.0,5,1,2,1965,yes
no,travel_rarely,1220.0,,5,3,,4340.0,3,male,85.0,3,1,research_scientist,2,single,,20938,1,,12,3.0,2,0,4.0,2,,4,1,2,1996,yes
no,travel_frequently,928.0,,20,4,life_sciences,4500.0,4,male,31.0,3,2,research_scientist,3,,4869.0,16885,3,,12,,4,0,20.0,4,2.0,4,0,3,1969,no
no,non_travel,746.0,,2,3,life_sciences,4690.0,4,female,61.0,3,2,sales_executive,3,,4649.0,16928,1,,14,,1,1,,3,2.0,4,0,2,1994,yes
no,travel_rarely,1046.0,,10,3,,4910.0,4,female,100.0,2,3,healthcare_representative,4,,10496.0,2755,6,no,15,3.0,4,0,20.0,2,3.0,4,1,3,1973,no
yes,travel_rarely,1448.0,,1,1,technical_degree,5540.0,1,male,62.0,3,1,sales_representative,2,single,,21972,1,yes,16,3.0,2,0,6.0,4,3.0,5,1,4,1999,yes
no,,1303.0,,2,4,,5790.0,4,female,62.0,2,1,research_scientist,3,,2768.0,8416,3,,12,3.0,3,1,14.0,3,3.0,7,5,7,1989,yes
no,non_travel,635.0,,30,4,medical,5920.0,2,female,32.0,3,3,sales_executive,4,single,,15318,1,,14,3.0,4,0,,3,2.0,10,9,7,1987,yes
no,non_travel,267.0,sales,10,2,,5990.0,4,female,,3,2,sales_executive,4,single,,13430,7,no,14,3.0,4,0,,3,3.0,14,1,10,1982,yes
no,travel_rarely,703.0,,28,2,marketing,6410.0,1,female,66.0,3,2,sales_executive,2,married,,7428,1,,20,4.0,4,2,,5,4.0,5,1,4,1997,yes
no,,798.0,research_and_development,6,4,,6550.0,1,male,66.0,2,1,research_scientist,3,divorced,2187.0,5013,0,no,12,3.0,3,2,6.0,5,2.0,5,0,3,1996,yes
yes,travel_rarely,1420.0,,2,1,marketing,6670.0,3,female,85.0,3,1,sales_representative,1,divorced,,16346,0,no,11,3.0,2,1,5.0,3,3.0,4,0,2,1996,yes
no,travel_rarely,650.0,,49,1,,7580.0,2,female,37.0,3,1,laboratory_technician,1,,,4344,1,no,14,3.0,4,1,5.0,2,4.0,4,0,2,2000,yes
no,travel_rarely,141.0,,24,3,,7600.0,3,male,44.0,4,2,human_resources,2,,,18767,9,,15,3.0,3,1,,3,1.0,8,3,6,1984,no
no,non_travel,715.0,,19,4,medical,7910.0,4,female,41.0,3,1,research_scientist,4,,4258.0,26589,0,no,18,3.0,1,1,,3,3.0,4,1,2,1971,yes
yes,,,,8,3,,7960.0,4,female,,2,2,sales_executive,1,single,5326.0,3064,6,no,17,3.0,3,0,,2,2.0,4,1,2,1997,yes
no,,376.0,,19,4,,7990.0,4,male,,3,2,manufacturing_director,1,divorced,5485.0,22670,9,yes,11,,2,2,,4,3.0,5,1,4,1969,yes
no,travel_rarely,691.0,research_and_development,2,3,,8150.0,3,female,64.0,3,4,research_director,3,,17639.0,6881,5,,16,3.0,4,0,,3,3.0,4,0,3,1973,no
no,,932.0,,1,2,life_sciences,8270.0,4,male,43.0,2,2,manufacturing_director,4,married,6062.0,4051,9,,13,3.0,4,1,8.0,4,3.0,4,0,2,1981,no
no,,638.0,,8,2,,8650.0,3,male,91.0,4,2,research_scientist,3,married,,22162,5,,12,3.0,3,1,9.0,3,2.0,5,1,3,1991,yes
no,,1265.0,,3,3,,8940.0,3,male,95.0,4,2,laboratory_technician,4,married,,23726,2,yes,13,3.0,2,1,17.0,1,2.0,5,1,3,1981,yes
no,non_travel,152.0,,10,3,,9830.0,3,male,85.0,3,2,sales_executive,4,,5666.0,19899,1,yes,13,3.0,2,0,6.0,1,3.0,5,1,3,1985,yes
